Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Madugula,27,BANDARU SATYANARAYANA MURTHY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ANURADHA ERLI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",28026,17/17,Result Declared
Mandapeta,48,JOGESWARA RAO.V,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,THOTA TRIMURTHULU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",44435,23/23,Result Declared
Mangalagiri,87,NARA LOKESH,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MURUGUDU LAVANYA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",91413,22/22,Result Declared
Mantralayam,145,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress PartyiParty Wise State TrendsLeading In:0Won In:11Trailing In:0,N. RAGHAVENDRA REDDY,"Telugu Desam
iParty Wise State TrendsLeading In:0Won In:135Trailing In:0",12805,17/17,Result Declared
Markapuram,111,KANDULA NARAYANA REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ANNA RAMBABU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",13979,19/19,Result Declared
Mummidivaram,43,DATLA SUBBARAJU (BUCHIBABU),Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,PONNADA VENKATA SATISH KUMAR,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",38736,20/20,Result Declared
Mydukur,133,SUDHAKAR PUTTA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,RAGHURAMI REDDY SETTIPALLY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",20950,21/21,Result Declared
Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,TIRAPATHIRAO SARNALA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",42829,22/22,Result Declared
Nagari,170,GALI BHANU PRAKASH,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,R.K. ROJA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",45004,18/18,Result Declared
Nandigama (SC),83,TANGIRALA SOWMYA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MONDITOKA JAGAN MOHAN RAO,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",27395,17/17,Result Declared
Nandikotkur (SC),136,G JAYASURYA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,DARA SUDHEER,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",9792,27/27,Result Declared
Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,SILPA RAVI CHANDRA KISHORE REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",12333,21/21,Result Declared
Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KRISHNADAS DHARMANA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",29371,21/21,Result Declared
Narasapuram,58,BOMMIDI NARAYANA NAYAKAR,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,NAGARAJA VARA PRASADA RAJU MUDUNURI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",49738,13/13,Result Declared
Narasaraopet,97,ARAVINDA BABU CHADALAVADA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,GOPIREDDY SRINIVASA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",19705,18/18,Result Declared
Narsipatnam,34,AYYANNAPATRUDU CHINTAKAYALA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,UMA SANKARA GANESH PETLA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",24676,19/19,Result Declared
Nellimarla,17,LOKAM NAGA MADHAVI,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,APPALANAIDU BADDUKONDA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",39829,18/18,Result Declared
Nellore City,117,NARAYANA PONGURU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KHALEEL AHAMAD MD,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",72489,18/18,Result Declared
Nellore Rural,118,KOTAMREDDY SRIDHAR REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ADALA PRABHAKARA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",34480,24/24,Result Declared
Nidadavole,55,KANDULA DURGESH,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,G.SRINIVAS NAIDU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",33304,16/16,Result Declared
Nuzvid,70,KOLUSU PARTHA SARATHY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MEKA VENKATA PRATAP APPARAO,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",12378,21/21,Result Declared
Ongole,108,DAMACHARLA JANARDHANA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,BALINENI SRINIVASA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",34026,19/19,Result Declared
Paderu,29,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress PartyiParty Wise State TrendsLeading In:0Won In:11Trailing In:0,ESWARI GIDDI,"Telugu Desam
iParty Wise State TrendsLeading In:0Won In:135Trailing In:0",19338,23/23,Result Declared
Palacole,57,DR.NIMMALA RAMANAIDU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",67945,14/14,Result Declared
Palakonda,10,JAYAKRISHNA NIMMAKA,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,VISWASARAYI KALAVATHI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",13291,21/21,Result Declared
Palamaner,174,AMARANATHA REDDY. N,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,VENKATE GOWDA. N,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",20122,21/21,Result Declared
Palasa,2,GOUTHU SIREESHA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,APPALARAJU SEEDIRI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",40350,21/21,Result Declared
Pamarru (SC),77,KUMAR RAJA VARLA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ANIL KUMAR KAILE,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",29690,17/17,Result Declared
Panyam,138,GOWRU CHARITHA REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KATASANI RAMABHUPAL REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",40591,26/26,Result Declared
Parchur,104,YELURI SAMBASIVA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,YADAM BALAJI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",24013,22/22,Result Declared
Parvathipuram,12,BONELA VIJAYA CHANDRA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ALAJANGI JOGARAO,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",24414,17/17,Result Declared
Pathapatnam,4,MAMIDI GOVINDA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,REDDY SHANTHI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",26527,24/24,Result Declared
Pattikonda,142,K.E. SHYAM KUMAR,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KANGATI SREEDEVI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",14211,19/19,Result Declared
Payakaraopet,33,ANITHA VANGALAPUDI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,JOGULU KAMBALA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",43727,21/21,Result Declared
Pedakurapadu,85,BHASHYAM PRAVEEN,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,NAMBURU SANKARA RAO,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",21089,20/20,Result Declared
Pedana,74,KAGITHA KRISHNAPRASAD,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,UPPALA RAMESH(RAMU),"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",38123,17/17,Result Declared
Peddapuram,39,CHINA RAJAPPA NIMMAKAYALA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,DAVULURI DORABABU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",40451,15/15,Result Declared
Penamaluru,78,BODE PRASAD,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,JOGI RAMESH,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",59915,23/23,Result Declared
Pendurthi,31,PANCHAKARLA RAMESH BABU,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,ANNAMREDDY ADEEP RAJ,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",81870,22/22,Result Declared
Penukonda,158,S. SAVITHA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,K.V. USHA SHRICHARAN,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",33388,19/19,Result Declared
Pileru,163,NALLARI KISHAN KUMAR REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,CHINTHALA RAMACHANDRA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",25081,21/21,Result Declared
