Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Kabisuryanagar,125,PRATAP CHANDRA NAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,LATIKA PRADHAN,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",30173,21/21,Result Declared
Kakatpur,105,TUSHARKANTI BEHERA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,BAIDHAR MALIK,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",23151,28/28,Result Declared
Kamakhyanagar,57,SATRUGHAN JENA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,PRAFULLA KUMAR MALLIK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",4662,25/25,Result Declared
Kantabanji,70,LAXMAN BAG,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,NAVEEN PATNAIK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",16344,29/29,Result Declared
Kantamal,85,KANHAI CHARAN DANGA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,MAHIDHAR RANA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",7149,17/17,Result Declared
Karanjia,30,PADMA CHARAN HAIBURU,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,BASANTI HEMBRAM,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",29499,18/18,Result Declared
Kendrapara,97,GANESWAR BEHERA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,GEETANJALI SETHI,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",35418,25/25,Result Declared
Keonjhar,24,MOHAN CHARAN MAJHI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,MINA MAJHI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",11577,21/21,Result Declared
Khalikote,126,PURNA CHANDRA SETHY,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SURYAMANI BAIDYA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",23057,21/21,Result Declared
Khandapada,120,DUSMANTA KUMAR SWAIN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SABITRI PRADHAN,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",7343,16/16,Result Declared
